Equipo,PL,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Int.,Tkl%,Pasado,Presión,Con éxito,%,3.º def.,3.º cent.,3.º ataq.,Bloqueos,Dis,ShSv,Pases,Int,Tkl+Int,Desp.,Err
Alaves,30,38.0,15.1,9.37,7.76,5.68,1.68,4.87,14.6,33.4,9.71,143.3,39.7,27.7,46.1,66.9,30.4,14.9,2.76,0.11,12.2,11.4,26.5,28.0,0.24
Athletic Club,27,38.0,13.8,9.03,6.18,5.97,1.61,4.16,14.5,28.6,10.4,138.2,38.2,27.6,39.3,62.6,36.2,14.6,2.26,0.05,12.3,9.16,22.9,23.6,0.11
Atletico Madrid,25,38.0,18.5,11.8,9.11,7.03,2.39,7.58,17.7,42.9,10.1,134.8,40.5,30.1,43.8,61.3,29.8,15.2,2.45,0.00,12.8,10.4,28.9,21.0,0.08
Barcelona,25,38.0,14.4,9.24,6.32,5.95,2.16,5.42,13.4,40.3,8.03,133.6,40.7,30.5,36.9,61.3,35.3,13.7,2.16,0.00,11.5,9.32,23.7,12.5,0.29
Betis,25,38.0,15.9,9.95,7.61,6.32,2.00,5.16,14.7,35.2,9.50,138.5,39.8,28.8,42.6,65.7,30.2,14.0,2.21,0.05,11.8,11.4,27.3,22.5,0.26
Cadiz,34,38.0,16.1,10.1,8.87,5.74,1.47,5.84,16.4,35.6,10.6,138.5,37.7,27.2,55.1,60.6,22.8,16.1,3.11,0.11,13.0,10.8,26.9,25.0,0.26
Celta Vigo,30,38.0,18.5,11.0,9.29,7.34,1.84,5.84,18.2,32.2,12.3,157.8,44.8,28.4,54.3,75.0,28.5,16.1,2.55,0.03,13.5,9.87,28.3,25.4,0.24
Eibar,30,38.0,15.1,9.53,6.55,6.21,2.29,4.97,14.8,33.5,9.87,132.0,42.2,31.9,33.5,59.2,39.3,14.6,1.97,0.05,12.6,10.3,25.3,25.4,0.21
Elche,30,38.0,15.7,10.4,9.11,5.61,1.03,5.08,16.0,31.7,10.9,136.0,38.3,28.2,54.4,58.6,22.9,14.6,2.92,0.05,11.6,10.2,25.9,22.8,0.21
Getafe,31,38.0,16.2,10.1,6.87,7.32,2.05,5.24,14.7,35.7,9.45,160.1,44.4,27.8,42.2,80.4,37.6,14.7,1.79,0.11,12.9,11.1,27.3,29.7,0.16
Granada,34,38.0,14.9,9.84,7.26,5.95,1.71,4.95,13.4,36.9,8.45,132.3,35.7,27.0,42.5,61.7,28.1,16.1,3.74,0.13,12.3,10.7,25.6,25.1,0.24
Huesca,27,38.0,16.7,10.6,8.92,6.13,1.63,5.76,15.9,36.1,10.2,143.4,41.5,28.9,51.3,64.8,27.3,14.5,2.71,0.03,11.8,9.16,25.8,20.4,0.16
Levante,29,38.0,15.1,9.68,7.61,5.68,1.79,5.26,15.8,33.2,10.6,141.1,39.4,28.0,44.7,61.8,34.6,14.2,2.84,0.08,11.3,11.7,26.8,26.1,0.32
Osasuna,28,38.0,15.0,9.32,6.71,6.21,2.05,5.37,14.1,38.1,8.74,140.2,40.8,29.1,41.0,65.4,33.8,14.7,2.87,0.05,11.8,10.1,25.1,27.0,0.08
Real Madrid,30,38.0,15.1,9.29,7.50,5.55,2.00,4.84,14.5,33.3,9.68,128.4,37.5,29.2,41.1,57.2,30.1,14.1,2.63,0.11,11.4,10.7,25.7,17.6,0.24
Real Sociedad,30,38.0,14.7,9.00,6.61,6.18,1.95,4.53,13.9,32.5,9.39,133.4,39.1,29.3,37.4,61.6,34.4,13.1,2.74,0.05,10.3,8.87,23.6,22.6,0.13
Sevilla,26,38.0,15.0,10.2,6.66,6.37,2.00,5.26,14.4,36.6,9.11,124.1,38.9,31.3,36.6,57.9,29.6,13.2,2.50,0.08,10.7,8.79,23.8,20.2,0.21
Valencia,30,38.0,13.4,8.21,6.82,4.82,1.74,4.92,15.1,32.6,10.2,127.8,34.3,26.9,47.2,54.4,26.2,14.9,3.61,0.05,11.3,8.45,21.8,25.0,0.37
Valladolid,32,38.0,16.0,9.89,8.89,5.32,1.76,5.79,17.6,32.9,11.8,153.7,42.7,27.8,54.0,68.4,31.3,15.8,3.08,0.05,12.7,10.3,26.2,26.0,0.21
Villarreal,29,38.0,14.9,8.95,6.66,6.37,1.87,4.66,15.3,30.5,10.6,131.4,37.5,28.5,41.8,58.6,31.1,15.2,3.08,0.08,12.1,9.32,24.2,20.4,0.21
