RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,xG,xGA,xGD,xGD/90,Últimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas
1,Atlético Madrid,34,23,7,4,61,22,+39,76,44.1,28.1,+15.9,+0.48,PE PG PG PP PG,,Luis Suárez - 19,Jan Oblak,
2,Real Madrid,34,22,8,4,58,24,+34,74,54.8,32.1,+22.7,+0.69,PG PE PG PE PG,,Karim Benzema - 21,Thibaut Courtois,
3,Barcelona,33,22,5,6,77,31,+46,71,70.5,34.9,+35.6,+1.08,PG PP PG PG PP,,Lionel Messi - 26,Marc-André ter Stegen,
4,Sevilla,33,22,4,7,49,26,+23,70,44.7,30.0,+14.7,+0.45,PG PG PG PG PG,,Youssef En-Nesyri - 17,Yassine Bounou,
5,Real Sociedad,34,14,11,9,51,35,+16,53,52.2,32.3,+19.9,+0.60,PE PP PG PG PP,,Alexander Isak - 14,Álex Remiro,
6,Betis,33,14,8,11,42,45,-3,50,39.5,40.8,-1.3,-0.04,PE PE PE PE PE,,Sergio Canales - 8,Joel Robles,
7,Villarreal,33,12,13,8,50,38,+12,49,51.8,36.9,+14.9,+0.45,PG PP PG PP PP,,Gerard Moreno - 20,Sergio Asenjo,
8,Granada,33,13,6,14,43,54,-11,45,33.7,46.1,-12.4,-0.38,PP PG PG PP PG,,Roberto Soldado - 9,Rui Silva,
9,Celta Vigo,34,11,11,12,46,51,-5,44,40.4,40.1,+0.4,+0.01,PP PE PP PG PG,,Iago Aspas - 13,Rubén Blanco,
10,Athletic Club,33,10,12,11,43,36,+7,42,40.8,30.1,+10.7,+0.32,PE PE PE PG PE,,Álex Berenguer - 8,Unai Simón,
11,Osasuna,34,10,10,14,31,41,-10,40,34.1,40.8,-6.6,-0.20,PG PG PG PP PP,,Ante Budimir - 7,Sergio Herrera,
12,Levante,34,9,11,14,38,48,-10,38,36.2,46.0,-9.9,-0.30,PG PP PP PP PP,,Roger Martí - 11,Aitor Fernández,
13,Cádiz,33,9,10,14,28,49,-21,37,28.4,47.7,-19.3,-0.58,PG PG PE PP PE,,Álvaro Negredo - 7,Jeremías Ledesma,
14,Valencia,33,8,12,13,41,48,-7,36,38.8,46.0,-7.2,-0.22,PP PE PE PP PE,,Carlos Soler - 8,Jaume Doménech,
15,Getafe,33,8,10,15,26,39,-13,34,29.2,37.6,-8.4,-0.25,PE PP PE PP PG,,Ángel Rodríguez Jaime Mata - 5,David Soria,
16,Alavés,34,7,10,17,28,52,-24,31,34.7,46.8,-12.1,-0.37,PE PG PG PE PP,,Joselu - 8,Fernando Pacheco,
17,Huesca,34,6,12,16,32,50,-18,30,31.4,40.8,-9.4,-0.29,PG PP PP PP PG,,Rafa Mir - 12,Álvaro Fernández,
18,Valladolid,33,5,15,13,31,45,-14,30,31.7,44.3,-12.6,-0.38,PP PP PE PE PE,,Fabián Orellana - 6,Jordi Masip,
19,Elche,34,6,12,16,29,50,-21,30,25.2,51.6,-26.4,-0.80,PP PP PE PG PP,,Lucas Boyé - 6,Édgar Badía,
20,Eibar,34,5,11,18,26,46,-20,26,34.9,44.1,-9.2,-0.28,PP PP PP PP PG,,Kike - 12,Marko Dmitrović,
