Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA▼,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Timo Horn\Timo-Horn,de GER,GK,Köln,27,1993,33.4,1.77,0.21,0.03,0.18,0.00,1.57,0.30,-0.19,-0.19,8.14,18.0,45.3,33.3,3.50,45.2,39.0,6.44,46.0,40.4,8.05,0.27,3.3,0.69,0.69,0.42
2,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,28,1992,34.0,1.68,0.12,0.00,0.21,0.09,1.39,0.28,-0.19,-0.19,7.12,15.3,46.4,25.4,4.85,42.7,37.6,8.32,53.7,43.4,10.6,0.62,5.8,0.65,0.65,0.41
3,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Augsburg,32,1987,34.0,1.62,0.18,0.00,0.12,0.09,1.53,0.27,0.03,+0.03,7.53,19.2,39.2,32.4,6.32,43.4,37.5,8.76,58.7,46.8,11.8,0.76,6.5,0.76,0.76,0.42
4,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,22,1997,33.0,1.64,0.15,0.03,0.09,0.03,1.46,0.28,-0.14,-0.14,4.18,10.2,40.9,28.5,6.06,29.5,30.1,8.36,21.7,25.3,8.55,0.61,7.1,0.52,0.52,0.40
5,Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,27,1992,34.0,1.53,0.15,0.00,0.18,0.03,1.53,0.29,0.03,+0.03,14.4,30.5,47.0,50.6,3.41,51.1,43.4,7.24,64.6,51.6,9.94,0.82,8.3,1.00,1.00,0.45
6,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,30,1990,33.0,1.58,0.12,0.03,0.21,0.06,1.35,0.29,-0.16,-0.16,7.79,19.4,40.2,33.0,4.88,46.1,37.9,7.97,52.5,43.9,8.67,0.73,8.4,0.70,0.70,0.45
7,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,30,1990,31.0,1.65,0.19,0.00,0.13,0.06,1.55,0.33,-0.03,-0.03,6.13,14.8,41.4,37.0,5.61,32.9,32.8,6.58,39.7,35.1,8.77,0.35,4.0,1.16,1.16,0.49
8,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,31,1988,30.1,1.66,0.20,0.00,0.17,0.00,1.43,0.31,-0.23,-0.23,5.98,13.0,46.2,34.2,4.15,32.0,32.1,7.01,28.9,29.9,7.97,0.47,5.8,0.66,0.66,0.45
9,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,31,1988,20.8,2.40,0.14,0.05,0.38,0.10,1.95,0.27,-0.36,-0.36,6.06,19.1,31.7,30.9,5.58,42.7,37.5,8.80,67.2,48.6,10.8,0.63,5.8,0.87,0.86,0.70
10,Florian Müller\Florian-Muller,de GER,GK,Freiburg,22,1997,31.0,1.48,0.06,0.06,0.10,0.06,1.52,0.30,0.10,+0.10,6.10,18.9,32.2,34.4,4.81,36.3,36.9,8.77,73.5,57.3,7.90,0.39,4.9,0.74,0.74,0.49
11,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,25,1994,31.0,1.48,0.16,0.03,0.13,0.03,1.31,0.27,-0.14,-0.14,5.35,16.2,33.1,26.8,6.32,43.3,39.5,8.03,56.6,47.6,9.48,0.90,9.5,0.61,0.61,0.45
12,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,34,1986,33.0,1.27,0.03,0.00,0.15,0.00,1.34,0.34,0.07,+0.07,7.24,11.8,61.1,34.3,5.73,30.9,32.1,5.64,22.6,29.1,6.91,0.18,2.6,1.27,1.27,0.50
13,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,33,1987,30.8,1.36,0.13,0.00,0.26,0.03,1.33,0.31,0.00,0.00,6.85,16.6,41.4,29.9,3.44,40.8,37.3,7.01,62.0,44.5,7.69,0.52,6.8,0.36,0.36,0.43
14,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Hertha BSC,28,1992,26.0,1.50,0.23,0.04,0.12,0.00,1.42,0.31,-0.08,-0.08,6.69,13.8,48.5,26.9,4.73,33.6,34.3,8.42,56.6,46.3,8.77,0.54,6.1,0.46,0.46,0.53
15,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,28,1992,32.0,1.03,0.09,0.03,0.09,0.03,1.04,0.31,0.04,+0.05,7.38,16.7,44.1,32.7,4.91,38.3,36.4,6.34,66.5,52.1,8.03,0.66,8.2,1.06,1.06,0.49
16,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,29,1990,18.5,1.62,0.22,0.00,0.32,0.00,1.37,0.26,-0.25,-0.25,4.97,10.9,45.8,28.1,5.73,30.8,32.5,5.89,37.6,36.3,6.54,0.49,7.4,0.32,0.32,0.72
17,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,30,1990,33.0,0.91,0.09,0.00,0.06,0.00,0.74,0.29,-0.17,-0.17,4.15,8.33,49.8,30.4,5.18,24.2,30.3,5.03,19.3,27.5,5.64,0.36,6.5,1.61,1.61,0.57
18,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,30,1989,28.5,1.02,0.04,0.04,0.00,0.07,0.94,0.31,-0.01,-0.01,7.33,17.6,41.6,42.6,6.32,35.9,34.8,6.18,38.1,34.2,7.30,0.74,10.1,1.09,1.09,0.57
19,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,27,1992,10.5,2.29,0.38,0.00,0.48,0.19,2.14,0.31,0.05,+0.05,4.86,13.6,35.7,27.5,6.10,33.6,32.7,8.95,48.9,39.7,6.76,0.29,4.2,0.67,0.67,1.37
20,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,32,1987,15.5,1.03,0.13,0.00,0.06,0.06,1.02,0.33,0.05,+0.05,6.06,11.7,51.9,27.5,4.45,28.3,31.9,7.94,48.8,41.7,5.94,0.45,7.6,0.45,0.45,0.92
21,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,35,1984,8.0,1.63,0.13,0.00,0.25,0.13,1.26,0.28,-0.24,-0.24,7.50,19.1,39.2,26.3,3.13,51.0,41.7,9.25,62.2,47.9,9.38,0.88,9.3,0.50,0.50,1.60
22,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,35,1985,2.7,4.44,0.00,0.00,1.85,0.37,3.22,0.36,-0.85,-0.85,4.07,13.0,31.4,18.5,2.59,44.0,38.2,9.63,50.0,39.3,8.52,0.00,0.0,1.11,1.13,5.59
23,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,22,1998,3.0,3.33,0.33,0.00,0.33,0.00,3.07,0.42,-0.27,-0.26,3.00,8.67,34.6,19.7,5.33,33.9,32.9,9.00,22.2,25.7,11.3,0.33,2.9,0.67,0.67,3.87
24,Lennart Grill\Lennart-Grill,de GER,GK,Leverkusen,21,1999,4.0,1.75,0.00,0.00,0.00,0.00,1.57,0.32,-0.17,-0.16,2.50,6.25,40.0,34.0,6.50,16.9,27.3,6.25,8.0,22.2,5.75,0.75,13.0,1.00,1.00,3.98
25,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,27,1993,3.0,2.00,0.67,0.00,0.00,0.00,2.47,0.39,0.47,+0.46,10.3,21.3,48.4,32.7,3.00,42.9,41.4,9.00,81.5,65.7,10.7,0.33,3.1,0.33,0.33,4.10
26,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,32,1988,3.8,1.58,0.00,0.00,0.53,0.00,1.87,0.37,0.29,+0.29,9.74,22.6,43.0,26.6,3.16,51.5,42.9,12.1,73.9,58.0,14.7,0.79,5.4,1.05,1.05,4.21
27,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,32,1987,2.0,2.00,0.00,0.00,1.00,0.00,2.35,0.34,0.35,+0.35,7.50,16.0,46.9,26.5,3.00,39.6,36.3,9.00,61.1,49.7,10.0,1.00,10.0,0.00,0.00,5.90
28,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,35,1985,3.0,1.00,0.00,0.33,0.00,0.00,1.67,0.38,0.67,+0.66,4.00,8.33,48.0,30.0,6.33,25.6,29.7,6.67,10.0,19.3,3.33,0.00,0.0,0.33,0.33,5.60
29,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,27,1993,1.5,2.00,0.00,0.00,0.00,0.00,2.07,0.38,0.07,+0.04,3.33,11.3,29.4,35.3,8.67,26.4,30.5,4.67,42.9,37.9,8.00,0.67,8.3,0.67,0.67,9.47
30,Josep Martinez\Josep-Martinez,es ESP,GK,RB Leipzig,22,1998,1.0,2.00,0.00,0.00,1.00,0.00,2.00,0.49,0.00,-0.03,3.00,13.0,23.1,44.0,5.00,29.5,32.0,5.00,0.0,17.4,9.00,0.00,0.0,1.00,1.00,14.2
31,Alexander Nübel\Alexander-Nubel,de GER,GK,Bayern Munich,23,1996,1.0,2.00,0.00,0.00,1.00,0.00,1.90,0.47,-0.10,-0.11,1.00,3.00,33.3,27.0,2.00,11.1,26.7,8.00,0.0,28.1,10.0,0.00,0.0,0.00,0.00,9.50
32,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Stuttgart,25,1995,1.0,1.00,0.00,0.00,0.00,0.00,2.40,0.27,1.40,+1.41,2.00,11.0,18.2,27.0,5.00,37.0,33.1,9.00,11.1,27.6,17.0,1.00,5.9,0.00,0.00,10.3
33,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,27,1993,3.2,0.31,0.00,0.00,0.00,0.31,0.53,0.35,0.53,+0.53,6.56,17.5,37.5,23.4,2.81,56.0,44.3,6.25,70.0,56.5,9.38,0.63,6.7,0.00,0.00,3.59
34,Elias Bördner\Elias-Bordner,de GER,GK,Eint Frankfurt,18,2002,1.0,1.00,0.00,0.00,0.00,0.00,0.80,0.13,-0.20,-0.24,4.00,18.0,22.2,32.0,9.00,50.0,38.0,11.0,18.2,23.7,10.0,0.00,0.0,0.00,0.00,7.50
35,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,31,1989,0.6,1.67,1.67,0.00,0.00,0.00,1.17,0.01,-0.50,-0.46,10.0,18.3,54.5,28.3,6.67,35.3,35.0,10.0,83.3,49.7,16.7,0.00,0.0,0.00,0.00,19.7
